Time (s),Temp 1 (F),Temp 2 (F),Humidity 1 (%),Humidity 2 (%),Time (s),Control Force
262.9,93.56,88.34,33.0,36.0,,0
264.1,93.56,88.34,33.0,36.0,,0
265.3,93.56,88.34,33.0,36.0,,0
266.5,93.56,88.16,33.0,36.0,,0
267.7,93.56,87.44,33.0,36.0,,0
268.9,93.56,87.44,33.0,36.0,,0
270.1,93.56,87.44,33.0,36.0,,0
271.3,93.56,87.44,33.0,36.0,,0
272.5,93.56,87.44,33.0,36.0,,0
273.7,93.56,87.44,33.0,36.0,,0
274.9,93.56,87.44,33.0,36.0,,0
276.1,93.56,87.44,33.0,36.0,,0
277.3,93.56,87.44,33.0,36.0,,0
278.5,93.56,87.44,33.0,36.0,,0
279.7,93.56,87.44,33.0,36.0,,0
280.9,93.56,87.44,33.0,36.0,,0
282.1,93.56,87.44,33.0,36.0,,0
283.3,93.56,87.44,33.0,36.0,,0
284.5,93.56,87.44,33.0,36.0,,0
285.7,93.56,87.44,33.0,36.0,,0
286.9,93.56,87.44,33.0,36.0,,0
288.1,93.56,87.44,33.0,36.0,,0
289.3,93.56,87.44,33.0,36.0,,0
290.5,93.56,87.44,33.0,36.0,,0
291.7,93.56,87.44,33.0,36.0,,0
292.9,93.56,87.44,33.0,36.0,,0
294.1,93.56,87.44,33.0,36.0,,0
295.3,93.56,87.44,33.0,36.0,,0
296.5,93.56,87.44,33.0,36.0,,0
297.7,93.56,87.44,33.0,36.0,,0
298.9,93.56,87.44,33.0,36.0,,0
300.1,93.56,87.44,33.0,36.0,,0
301.3,93.56,87.44,33.0,36.0,,0
302.5,93.56,87.44,33.0,36.0,,0
303.7,93.56,87.44,33.0,36.0,,0
304.9,93.56,87.44,33.0,36.0,,0
306.1,93.56,87.44,33.0,36.0,,0
307.3,93.56,87.44,33.0,36.0,,0
308.5,93.56,87.44,33.0,36.0,,0
309.7,93.56,87.44,33.0,36.0,,0
310.9,93.56,87.26,33.0,36.0,,0
312.1,93.56,86.9,33.0,36.0,,0
313.3,93.56,86.36,33.0,36.0,,0
314.5,93.56,86.36,33.0,36.0,,0
315.7,93.56,86.36,33.0,36.0,,0
316.9,93.56,86.36,33.0,36.0,,0
318.1,93.56,86.36,33.0,36.0,,0
319.3,93.56,86.36,33.0,36.0,,0
320.5,93.56,86.36,33.0,36.0,,0
321.7,93.56,86.36,33.0,36.0,,0
322.9,93.56,86.36,32.0,36.0,,0
324.1,93.56,86.36,32.0,36.0,,0
325.3,93.56,86.36,32.0,36.0,,0
326.5,93.56,86.36,32.0,36.0,,0
327.7,93.56,86.36,32.0,36.0,,0
328.9,93.56,86.36,32.0,36.0,,0
330.1,93.56,86.36,32.0,36.0,,0
331.3,93.56,86.36,32.0,36.0,,0
332.5,93.56,86.36,32.0,36.0,,0
333.7,93.56,86.36,32.0,36.0,,0
334.9,93.56,86.36,32.0,36.0,,0
336.1,93.56,86.36,32.0,36.0,,0
337.3,93.56,86.36,32.0,36.0,,0
338.5,93.56,86.36,32.0,36.0,,0
339.7,93.56,86.36,32.0,37.0,,0
340.9,93.56,86.36,32.0,37.0,,0
342.1,93.56,86.36,32.0,37.0,,0
343.3,93.56,86.36,32.0,37.0,,0
344.5,93.56,86.36,32.0,37.0,,0
345.7,93.56,86.36,32.0,37.0,,0
346.9,93.56,86.36,32.0,37.0,,0
348.1,93.56,86.36,32.0,37.0,,0
349.3,93.38,86.36,32.0,36.0,,0
350.5,93.2,86.36,32.0,36.0,,0
351.7,93.2,86.36,32.0,36.0,,0
352.9,93.02,86.36,32.0,36.0,,0
354.1,92.84,86.36,32.0,36.0,,0
355.3,92.84,86.36,32.0,36.0,,0
356.5,92.84,86.36,32.0,36.0,,0
357.7,92.84,86.36,32.0,36.0,,0
358.9,92.84,86.36,32.0,36.0,,0
360.1,92.84,86.36,32.0,36.0,,0
361.3,92.84,86.36,32.0,36.0,,0
362.5,92.84,86.36,32.0,36.0,,0
363.7,92.84,86.36,32.0,36.0,,0
364.9,92.84,86.36,32.0,36.0,,0
366.1,92.84,86.36,32.0,36.0,,0
367.3,92.84,86.36,32.0,36.0,,0
368.5,92.84,86.36,32.0,36.0,,0
369.7,92.84,86.36,32.0,36.0,,0
370.9,92.84,86.36,32.0,36.0,,0
372.1,92.84,86.18,32.0,36.0,,0
373.3,92.84,86.0,32.0,36.0,,0
374.5,92.84,85.82,32.0,37.0,,0
375.7,92.84,85.64,32.0,37.0,,0
376.9,92.84,85.64,32.0,37.0,,0
378.1,92.84,85.64,32.0,37.0,,0
379.3,92.84,85.64,32.0,37.0,,0
380.5,92.84,85.64,32.0,37.0,,0
381.7,92.84,85.64,32.0,37.0,,0
382.9,92.84,85.64,32.0,37.0,,0
384.1,92.84,85.64,32.0,37.0,,0
385.3,92.84,85.64,32.0,37.0,,0
386.5,92.84,85.64,32.0,37.0,,0
387.7,92.84,85.64,32.0,37.0,,0
388.9,92.84,85.64,32.0,37.0,,0
390.1,92.84,85.64,32.0,37.0,,0
391.3,92.84,85.64,32.0,37.0,,0
392.5,92.84,85.64,32.0,37.0,,0
393.7,92.84,85.64,32.0,37.0,,0
394.9,92.84,85.64,32.0,37.0,,0
396.1,92.84,85.64,32.0,37.0,,0
397.3,92.84,85.64,32.0,37.0,,0
398.5,92.84,85.64,32.0,37.0,,0
399.7,92.84,85.64,32.0,37.0,,0
400.9,92.84,85.64,32.0,37.0,,0
402.1,92.84,85.64,32.0,37.0,,0
403.3,92.84,85.64,32.0,37.0,,0
404.5,92.84,85.64,32.0,37.0,,0
405.7,92.84,85.64,32.0,37.0,,0
406.9,92.84,85.64,32.0,37.0,,0
408.1,92.84,85.64,32.0,37.0,,0
409.3,92.84,85.64,32.0,37.0,,0
410.5,92.84,85.64,32.0,37.0,,0
411.7,92.84,85.64,32.0,37.0,,0
412.9,92.84,85.64,32.0,37.0,,0
414.1,92.84,85.64,32.0,37.0,,0
415.3,92.84,85.64,32.0,37.0,,0
416.5,92.84,85.64,32.0,37.0,,0
417.7,92.84,85.64,32.0,37.0,,0
418.9,92.84,85.64,32.0,37.0,,0
420.1,92.84,85.64,32.0,37.0,,0
421.3,92.84,85.64,31.0,37.0,,0
422.5,92.84,85.64,31.0,37.0,,0
423.7,92.84,85.64,31.0,37.0,,0
424.9,92.84,85.64,32.0,37.0,,0
426.1,92.84,85.64,31.0,37.0,,0
427.3,92.84,85.64,31.0,37.0,,0
428.5,92.84,85.64,31.0,37.0,,0
429.7,92.84,85.64,31.0,37.0,,0
430.9,92.84,85.64,31.0,37.0,,0
432.1,92.84,85.64,31.0,37.0,,0
433.3,92.84,85.64,31.0,37.0,,0
434.5,92.84,85.64,31.0,37.0,,0
435.7,92.84,85.64,31.0,37.0,,0
436.9,92.84,85.64,31.0,37.0,,0
438.1,92.84,85.64,31.0,37.0,,0
439.3,92.84,85.64,31.0,37.0,,0
440.5,92.84,85.64,31.0,37.0,,0
441.7,92.84,85.64,31.0,37.0,,0
442.9,92.84,85.64,31.0,37.0,,0
444.1,92.84,85.64,31.0,37.0,,0
445.3,92.84,85.64,31.0,37.0,,0
446.5,92.84,85.64,31.0,37.0,,0
447.7,92.84,85.64,31.0,37.0,,0
